,BrandName,Qty,Price
0,KING FISHER STRONG P,10,13010
1,KNOCKOUT HIGH PUNCH,30,39030
2,BUDWEISER KING OF BE,10,18010
3,BUDWEISER MAGNUM PRE,20,38020
4,KING FISHER PREMIUM,55,66055
5,OFFICER'S CHOICE RES (0110NNP),3,15612
6,OFFICER'S CHOICE RES (0110QQP),2,11002
7,MCDOWELLS NO 1 LUXUR (0019NNG),3,18012
8,MCDOWELLS NO 1 LUXUR (0019LLG),2,12302
9,DECCAN BLUE WHISKY,5,18920
10,OFFICER'S CHOICE RES (0110PPP),2,10804
11,KING FISHER STRONG P,10,13010
12,KING FISHER PREMIUM,15,18015
13,BUDWEISER MAGNUM PRE,1,1901
14,KNOCKOUT HIGH PUNCH,2,2602
15,MCDOWELLS NO 1 LUXUR (0019QQG),2,12602
16,MCDOWELLS NO 1 LUXUR (0019PPG),3,18606
17,MCDOWELLS NO 1 LUXUR (0019NNG),5,30020
18,SEAGRAM`S ROYAL STAG (0259LLG),2,14852
19,SEAGRAM`S ROYAL STAG (0259PPG),2,14804
20,SEAGRAM`S ROYAL STAG (0259QQG),3,22503
21,8PM PREMIUM BLACK WH (0546PPG),1,7402
22,8PM PREMIUM BLACK WH (0546QQG),1,7501
23,TI MANSION HOUSE XO (0605PPG),1,6002
24,SEAGRAM`S IMPERIAL B (0258PPG),4,24808
25,SEAGRAM`S IMPERIAL B (0258QQG),2,12602
26,SEAGRAM`S IMPERIAL B (0258LLG),2,12302
27,BREEZER GOLD TANGY C (1303GPG),1,2002
28,MCDOWELLS NO 1 LUXUR (0019DDG),4,22432
29,KING FISHER STRONG P (5017BSG),2,2602
30,KARJURA STRONG BEER (5122BSG),2,2602
31,KARJURA LAGER BEER (5123BSG),3,3603
32,KING FISHER PREMIUM (5016BSG),2,2402
33,SEAGRAM'S ROYAL STAG (0259PPG),2,14804
34,KAY KAY FINE WHISKY (0673NNP),2,7568
35,MCDOWELLS NO 1 LUXUR (0019NNG),10,60040
36,OFFICER'S CHOICE RES (0110PPP),2,10804
37,KING FISHER STRONG P,10,13010
38,KING FISHER PREMIUM,25,30025
39,ROYAL CHALLENGE PREMIUM,5,6005
40,KINGFISHER ULTRA LAG,4,7204
41,BUDWEISER KING OF BE,1,2802
42,KNOCKOUT HIGH PUNCH,5,6505
43,HEINEKEN LAGER BEER,1,2402
44,MCDOWELLS NO 1 LUXUR (180ml),4,24016
45,MCDOWELLS NO 1 LUXUR (375ml),2,12404
46,MCDOWELLS NO 1 LUXUR (750ml),1,6301
47,SEAGRAM`S ROYAL STAG (180ml),2,14408
48,SEAGRAM`S ROYAL STAG (375ml),2,14804
49,SEAGRAM`S ROYAL STAG (750ml),2,15002
50,SEAGRAM`S BLENDERS PRIDE (375ml),1,12202
51,OFFICER`S CHOICE RES (90ml),4,22432
52,BREEZER GOLD EXOTIC,1,2002
53,TI MANSION HOUSE XO (180ml),1,5604
54,TI MANSION HOUSE XO (375ml),1,6002
55,TI MANSION HOUSE XO (750ml),1,6001
56,SULA CABERNET SHIRAJ,1,10602
57,8PM PREMIUM BLACK WHISKY,1,7501
58,KAY KAY FINE WHISKY (180ml),15,56760
